X1,X2,Y,M1,X3,missprop,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,phi0,phi1,phi2,phi3,phi4,phi5,phi6,structureLabel,iteration,setType,PREDXM,PREDX,PREDEM,PREDE,PREDORACLEXM,PREDORACLEX,PREDBNEM,PREDBNE,PREDPS
0,1,0,0,0,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.1739130434782608,0.2,0.1739130434782608,0.2,0.0055358303326306585,0.004279855986603965,0.0055358303326306585,0.43128459436338495,0.6042075594801051
0,1,0,0,1,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.1739130434782608,0.2,0.1739130434782608,0.2,0.0055358303326306585,0.004279855986603965,0.0055358303326306585,0.43128459436338495,0.6042075594801051
1,0,0,1,1,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.6923076923076923,0.6,0.6595744680851063,0.5636363636363636,0.26607087994731105,0.5134919522436413,0.23900166729112624,0.5194995403681149,0.8508889972523
0,1,0,0,0,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.1739130434782608,0.2,0.1739130434782608,0.2,0.0055358303326306585,0.004279855986603965,0.0055358303326306585,0.43128459436338495,0.6042075594801051
1,0,1,0,1,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.5581395348837209,0.6,0.5581395348837209,0.6,0.5775112957694033,0.5134919522436413,0.5775112957694033,0.6702615112702492,0.6069838835147058
1,0,0,0,1,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.5581395348837209,0.6,0.5581395348837209,0.6,0.5775112957694033,0.5134919522436413,0.5775112957694033,0.6702615112702492,0.6069838835147058
0,0,1,1,0,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.6,0.5,0.6595744680851063,0.5636363636363636,0.18355751989459093,0.3956083391849115,0.23900166729112624,0.5194995403681149,0.8508889972523
0,0,1,0,0,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.4571428571428572,0.5,0.4571428571428572,0.5,0.4587903498372434,0.3956083391849115,0.4587903498372434,0.1582984059634292,0.2222591380291094
1,1,0,0,0,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.2651933701657458,0.3,0.2651933701657458,0.3,0.33946800999918525,0.28409267520107506,0.33946800999918525,0.8664281633883262,0.12685363517042808
0,1,0,0,0,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.1739130434782608,0.2,0.1739130434782608,0.2,0.0055358303326306585,0.004279855986603965,0.0055358303326306585,0.43128459436338495,0.6042075594801051
0,1,1,1,1,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.2727272727272727,0.2,0.3134328358208955,0.2333333333333333,0.0014741808830442947,0.004279855986603965,0.04907052176791081,0.8044290305278755,0.415277228598777
1,0,0,1,0,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.6923076923076923,0.6,0.6595744680851063,0.5636363636363636,0.26607087994731105,0.5134919522436413,0.23900166729112624,0.5194995403681149,0.8508889972523
0,1,0,0,1,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.1739130434782608,0.2,0.1739130434782608,0.2,0.0055358303326306585,0.004279855986603965,0.0055358303326306585,0.43128459436338495,0.6042075594801051
0,0,0,0,0,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.4571428571428572,0.5,0.4571428571428572,0.5,0.4587903498372434,0.3956083391849115,0.4587903498372434,0.1582984059634292,0.2222591380291094
0,1,0,0,0,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.1739130434782608,0.2,0.1739130434782608,0.2,0.0055358303326306585,0.004279855986603965,0.0055358303326306585,0.43128459436338495,0.6042075594801051
1,0,1,0,1,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.5581395348837209,0.6,0.5581395348837209,0.6,0.5775112957694033,0.5134919522436413,0.5775112957694033,0.6702615112702492,0.6069838835147058
1,0,1,0,1,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.5581395348837209,0.6,0.5581395348837209,0.6,0.5775112957694033,0.5134919522436413,0.5775112957694033,0.6702615112702492,0.6069838835147058
1,0,0,0,1,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.5581395348837209,0.6,0.5581395348837209,0.6,0.5775112957694033,0.5134919522436413,0.5775112957694033,0.6702615112702492,0.6069838835147058
0,1,0,0,0,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.1739130434782608,0.2,0.1739130434782608,0.2,0.0055358303326306585,0.004279855986603965,0.0055358303326306585,0.43128459436338495,0.6042075594801051
0,0,1,0,1,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.4571428571428572,0.5,0.4571428571428572,0.5,0.4587903498372434,0.3956083391849115,0.4587903498372434,0.1582984059634292,0.2222591380291094
1,0,1,0,0,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.5581395348837209,0.6,0.5581395348837209,0.6,0.5775112957694033,0.5134919522436413,0.5775112957694033,0.6702615112702492,0.6069838835147058
1,0,1,1,0,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.6923076923076923,0.6,0.6595744680851063,0.5636363636363636,0.26607087994731105,0.5134919522436413,0.23900166729112624,0.5194995403681149,0.8508889972523
1,1,0,0,1,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.2651933701657458,0.3,0.2651933701657458,0.3,0.33946800999918525,0.28409267520107506,0.33946800999918525,0.8664281633883262,0.12685363517042808
1,0,0,0,1,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.5581395348837209,0.6,0.5581395348837209,0.6,0.5775112957694033,0.5134919522436413,0.5775112957694033,0.6702615112702492,0.6069838835147058
1,0,1,0,1,0.3,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.25,0.45,0.5,0.3,0.24,0.36,0.12,0.54,0.18,0.4499999999999999,S3_5,0,TEST,0.5581395348837209,0.6,0.5581395348837209,0.6,0.5775112957694033,0.5134919522436413,0.5775112957694033,0.6702615112702492,0.6069838835147058
